Data_Import_Number__c,Name,Phone,Fax,Website,IRS_Status__c,LegalStatus__c,YearIncorporated__c,Active Status
73502335,10 Acre Ranch,,,www.10acreranch.org,501(c)(3),Nonprofit - Incorporated,1993,Active
73496337,211,,,www.211.org,501(c)(3),Nonprofit - Incorporated,,Active
7422536,211 Alameda County,898211,510-537-0986,www.edenir.org,501(c)(3),Nonprofit - Incorporated,2003,Active
7422534,211 Bay Area,898211,,www.211bayarea.org,501(c)(3),Nonprofit - Incorporated,,Active
57351095,211 Humboldt,,,www.211humboldt.org,501(c)(3),Nonprofit - Incorporated,,Active
7422512,211 Kern County,,,www.211kerncounty.org,501(c)(3),Nonprofit - Incorporated,,Active
7422228,211 Los Angeles County,,,www.211la.org,501(c)(3),Nonprofit - Incorporated,,Active
7422481,211 Orange County,,714-486-8539,https://www.211oc.org/,501(c)(3),Nonprofit - Incorporated,,Active
7422540,211 Sacramento,,916-779-3335,www.211sacramento.org,501(c)(3),Nonprofit - Incorporated,1964,Active
7422090,211 San Diego,,858-300-1301,www.211sandiego.org,501(c)(3),Nonprofit - Incorporated,2003,Active
7422539,211 San Luis Obispo County,898211,,www.unitedwayslo.org,501(c)(3),Nonprofit - Incorporated,,Active
7422533,211 Santa Barbara County,,,www.211santabarbaracounty.org,501(c)(3),Nonprofit - Incorporated,,Active
57351635,211 Sonoma County,,707-565-2661,www.211sonoma.org,501(c)(3),Nonprofit - Incorporated,,Active
7422538,211 Stanislaus County,898211,,www.stanislauscounty211.org,501(c)(3),Nonprofit - Incorporated,,Active
7422530,211 Ventura County,,,www.icfs.org,501(c)(3),Nonprofit - Incorporated,,Active
91449103,24 Hour Home Care,,,https://www.24hrcares.com/,None or unknown,None or unknown,,Inactive
7422952,29 Palms Historical Society,,,www.29palmshistorical.com,501(c)(3),Nonprofit - Incorporated,1982,Active
69885407,360 Community Thrift,,,www.360communitythrift.com,501(c)(3),Nonprofit - Incorporated,,Active
13942046,777 Community Warehouse,,,https://www.facebook.com/people/777-community-warehouse/100068355687299/,501(c)(3),Nonprofit - Incorporated,1988,Active
33236325,A Caring Touch Senior Services,,,www.acaringtouchseniorservices.com,None or unknown,Commercial,2015,Active
73500978,A Change in Trajectory,951-922-5792,951-622-5793,www.act-works.net,None or unknown,Private Practice,2009,Active
86496799,A Dyamond Touch,,,https://www.adyamondtouch.com/,501(c)(3),Nonprofit - Incorporated,,Inactive
7423032,A Greater Hope,,760-256-0537,https://aghope.org/,501(c)(3),Nonprofit - Incorporated,2002,Active
7422391,A is 4 Adoption,,714-556-4026,www.ais4adoption.com,501(c)(3),Nonprofit - Incorporated,,Active
73496344,A Peace of Mind Sober Living,,,www.apeaceofmindsoberliving.com,501(c)(3),Nonprofit - Incorporated,2008,Active
41015044,A Place for Mom,,,www.aplaceformom.com/,Commercial,Commercial,2000,Inactive
73501007,A Tender Love and Care FFA,,951-208-0409,tlcffa.org,501(c)(3),Nonprofit - Incorporated,2008,Active
73495780,AAP Food Samaritans,,760-325-1893,www.aidsassistance.org,501(c)(3),Nonprofit - Incorporated,1991,Active
73500346,ABC Child Care Centers,,951-676-7445,www.abccares.com,None or unknown,Commercial,1996,Active
73495778,ABC Recovery Center,,760-347-8276,www.abcrecoverycenter.org,501(c)(3),Nonprofit - Incorporated,1964,Active
70054740,ABC Urgent Care,,951-925-1026,,None or unknown,Private Practice,,Active
73500418,Abiding Love Ministry and Outreach,,,,501(c)(3),Faith-based,1982,Inactive
49976070,Ability Counts,,951-734-5574,www.abilitycounts.org,501(c)(3),Nonprofit - Incorporated,1987,Active
7422178,Ability First,,,www.abilityfirst.org,501(c)(3),Nonprofit - Incorporated,1926,Active
73496169,Ability Tools,,,https://abilitytools.org/,501(c)(3),Nonprofit - Incorporated,,Active
26996676,Able Mediation and Counseling Services,,,www.amcsi.org,None or unknown,Private Practice,2014,Active
55711875,Abundant Living,,,www.abundantlivinghd.com,501(c)(3),Faith-based,2010,Active
7422218,Academy for Grassroots Organizations,,,www.academygo.org,501(c)(3),Nonprofit - Incorporated,1998,Active
73496183,Acadia Healthcare,855-401-7185,,https://www.acadiahealthcare.com/,Commercial,None or unknown,2005,Active
73500637,Accurate Serve,,888-455-2109,www.accurateserve.com,None or unknown,Commercial,,Active
79772088,ACES Applied Behavior Analysis,,800-878-8530,https://www.acesaba.com/about/,None or unknown,Commercial,,Active
7422929,ACT Family Counseling Services,909-983-5575,,https://actfamilycounseling.com/,None or unknown,Private Practice,,Active
7422407,Adelanto Elementary School District,,760-246-4259,www.aesd.net,None or unknown,Government - State,,Active
7422645,Adoption Connection,415-355-4636,415-359-2490,adoptionconnection.org,501(c)(3),Nonprofit - Incorporated,1984,Active
70077051,Advanced Women's Healthcare,760-564-7900,760-327-7905,https://www.advancedwomenshealth.com/,None or unknown,Private Practice,,Active
73501463,Adventist Medical Evangelism Network,,,www.amensda.org,501(c)(3),Faith-based,,Active
79830933,Adventures of the Heart & Mind,,,https://adventuresoftheheartandmind.com/,None or unknown,Private Practice,,Active
7422739,Aegis Treatment Centers,,,https://pinnacletreatment.com/,None or unknown,Commercial,2006,Active
78632693,Aging and Disability Resource Connection of San Bernardino County,,,https://adrc.sbcounty.gov/,None or unknown,Government - County,,Active
7422360,AgingNext,,909-741-7296,www.agingnext.org,501(c)(3),Nonprofit - Incorporated,,Active
73496351,Agua Caliente Band of Cahuilla Indians,760-574-9018,,www.aguacaliente.org,None or unknown,Tribal,,Active
7422187,AIDS Healthcare Foundation,,,www.aidshealth.org,501(c)(3),Nonprofit - Incorporated,1992,Active
61001412,AIM High Sober Living,,,www.aimhighsoberliving.org,501(c)(3),Nonprofit - Incorporated,2019,Active
74882526,AK Smiley Public Library,,,www.akspl.org/services,None or unknown,Special District,1894,Active
67543101,Akoma Unity Center,,,www.akomaunitycenter.org,501(c)(3),Nonprofit - Incorporated,2017,Active
73503026,Al Rahma Food Bank,,,https://www.facebook.com/alrahmafoodbank/,501(c)(3),Faith-based,,Active
7422018,Alcoholics Anonymous Central Office - Inland Empire,,909-825-7370,https://aainlandempire.org/,501(c)(3),Nonprofit - Incorporated,,Active
73502267,All of God's Children,,951-924-4704,,501(c)(3),Nonprofit - Incorporated,1998,Active
73502300,All Options,,,www.all-options.org,501(c)(3),Nonprofit - Incorporated,2004,Active
73503221,All Saints Episcopal Church,,,https://www.allsaintsriverside.org,501(c)(3),Faith-based,,Active
7422478,Alliance Human Services,,,https://www.alliancehhs.org/foster-care-adoption-california/,501(c)(3),Nonprofit - Incorporated,,Active
73502449,Alliance Urgent Care,,,www.urgentcaresocal.com,None or unknown,Commercial,,Active
73467612,Allstar Medical Respite and Recuperative Care,,909-945-9799,www.amrrc4dhomeless.org,None or unknown,Private Practice,2013,Active
34061246,Al-Shifa Clinic,,909-473-9922,www.alshifafreeclinic.org,501(c)(3),Nonprofit - Incorporated,,Active
7422441,Alta Loma School District,,,www.alsd.k12.ca.us,None or unknown,Government,,Active
73495783,Alternatives to Domestic Violence,,,www.alternativestodv.org,501(c)(3),Nonprofit - Incorporated,1978,Active
43804064,Altus Schools Mirus,,760-947-7135,www.altusmirus.com,501(c)(3),Nonprofit - Incorporated,2008,Active
73501934,Alvord Unified School District,,951-509-6070,www.alvordschools.org,None or unknown,Government - City,,Active
73496328,Always Best Care Senior Services,,,www.alwaysbestcare.com/ca/indian-wells,None or unknown,Commercial,,Active
79379047,Amazonite Treatment Center,,,https://www.facebook.com/AmazoniteTreatmentCenters/,None or unknown,Commercial,,Active
73496253,American Addiction Centers,,,www.americanaddictioncenters.org,Commercial,Commercial,2004,Active
69654367,American Association of Caregiving Youth,,,www.aacy.org,501(c)(3),Nonprofit - Incorporated,1998,Active
73496338,American Breast Cancer Foundation,,410-740-2162,www.abcf.org,501(c)(3),Nonprofit - Incorporated,,Active
7422096,American Immigrant Lawyers Association,,202-783-7853,www.aila.org,501(c)(3),Nonprofit - Incorporated,1974,Active
73502132,American Medical Response Riverside,800-913-9106,,www.amr.net,Commercial,Commercial,,Active
73496336,American Psychological Association,,202-336-5797,www.apaservices.org,Registered charity,Membership,,Active
7422790,American Red Cross Southern California Region,909-888-1481,909-888-3741,https://www.redcross.org/local/california/southern-california,501(c)(3),Nonprofit - Incorporated,,Active
73495785,American SIDS Institute,,239-431-5536,www.sids.org,501(c)(3),Nonprofit - Incorporated,1983,Active
73496129,American Tinnitus Association,,,www.ata.org,501(c)(3),Nonprofit - Incorporated,,Active
73496246,American Veterans - Palm Springs,,301-459-7924,www.amvets.org,501(c)(3),Nonprofit - Incorporated,1944,Active
59282496,America's Job Center of California - San Bernardino County,,,workforce.sbcounty.gov,None or unknown,Government - County,,Active
78942957,Amethyst Behavioral Health,809-909-7671,909-614-7869,http://amethystbehavioral.com/,None or unknown,Private Practice,,Active
73496198,Amputee Coalition,,,www.amputee-coalition.org,501(c)(3),Nonprofit - Incorporated,1991,Active
7422541,Amputee Connection of Redlands,,,http://www.theamputeeconnection.org/,501(c)(3),Nonprofit - Incorporated,,Active
73496056,Angel Flight West,,310-397-9636,www.angelflightwest.org,501(c)(3),Nonprofit - Incorporated,1983,Active
73500725,Angel of Faith,,951-358-0762,www.angeloffaithong.org,501(c)(3),Nonprofit - Incorporated,2010,Active
73495786,Angel View,,760-329-9024,www.angelview.org,501(c)(3),Nonprofit - Incorporated,,Active
7422680,AngelWish,,,www.angelwish.org,501(c)(3),Nonprofit - Incorporated,1999,Active
73496162,Animal Friends of the Valleys,951-674-7729,951-471-8285,www.afv.org,501(c)(3),Nonprofit - Incorporated,1988,Active
73501430,Anointed Vessel Productions,,951-656-3593,www.anointedvessel.org,501(c)(3),Nonprofit - Incorporated,2007,Active
30256839,Another Level for Women,,,,501(c)(3),Nonprofit - Incorporated,1989,Inactive
12832068,Another Way,,,www.anotherway.org,501(c)(3),Nonprofit - Incorporated,1986,Inactive
7422571,Anthesis,,909-624-5675,https://anthesis.us/,501(c)(3),Nonprofit - Incorporated,1966,Active
7422025,Anti-Defamation League,,,la.adl.org,501(c)(3),Nonprofit - Incorporated,1913,Active
66411196,Anti-Recidivism Coalition,,,https://antirecidivism.org/,501(c)(3),Nonprofit - Incorporated,2013,Active
73501926,Anza Catholic Church,,951-763-0236,www.sacredheartofanza.org,501(c)(3),Faith-based,,Active
73500364,Anza First Southern Baptist Church,,951-763-0131,www.anzabaptistchurch.com,501(c)(3),Faith-based,1971,Active
73495787,Anza Valley Chamber of Commerce,,,www.anzavalleychamberofcommerce.org,501(c)(3),Nonprofit - Incorporated,,Active
74846205,Apostolic Church of Indio,,,https://www.apostolicchurchofindio.com/,501(c)(3),Faith-based,,Active
70054668,Apple Urgent Care,,951-591-7161,https://www.appleurgentcare.com/,None or unknown,Private Practice,2006,Active
7422469,Apple Valley Fire Protection District,,,https://avfpd.org/,None or unknown,Special District,,Active
24418052,Apple Valley Senior Citizens Club,,760-247-1996,avseniorclub.com,501(c)(3),Nonprofit - Incorporated,1985,Active
7422412,Apple Valley Unified School District,,,www.avusd.org,None or unknown,Special District,,Active
7422274,AquaFit Activities Center,,,http://www.mbssc.org,501(c)(3),Nonprofit - Incorporated,,Active
73495788,Arc Riverside,,,https://arcriverside.org/,501(c)(3),Nonprofit - Incorporated,1953,Active
73495789,Arlington Seventh Day Adventist Church,,951-688-6631,www.arlingtonsda.org,501(c)(3),Faith-based,,Active
73495790,Arlington Temporary Assistance,,,http://atariverside.org/,501(c)(3),Nonprofit - Incorporated,1985,Active
7422204,Armed Services YMCA - Twentynine Palms,,,https://29palms.asymca.org/,501(c)(3),Nonprofit - Incorporated,1992,Active
7422402,Arrowhead Regional Medical Center,,,www.arrowheadregional.org,None or unknown,Government - County,1977,Active
7422643,Arrowhead United Way,,909-885-4096,www.arrowheadunitedway.org,501(c)(3),Nonprofit - Incorporated,1960,Active
16146459,ASA Charter School,,909-883-2708,www.asacharterschool.com,501(c)(3),Nonprofit - Incorporated,,Active
73496255,Asante Family Agency,,909-886-3328,www.asantefamilyagency.org,501(c)(3),Nonprofit - Incorporated,2018,Active
25099952,Ascend Health,,951-353-8106,www.ascendhospice.com,None or unknown,None or unknown,,Inactive
7422574,Asian-American Resource Center,,909-383-7687,www.aarc-ie.org,501(c)(3),Nonprofit - Incorporated,,Active
73501427,Ask My Advocate,,866-804-3031,www.askmyadvocate.org/,501(c)(3),Nonprofit - Incorporated,,Active
70076753,Aspen Medical Group,951-735-6969,,www.aspenmedgroup.com,None or unknown,Private Practice,2003,Active
7423002,Aspiranet,,909-890-3672,www.aspiranet.org,501(c)(3),Nonprofit - Incorporated,1975,Active
22163559,Assistance League of Redlands,,909-792-9430,www.alredlands.org,501(c)(3),Nonprofit - Incorporated,1941,Active
73496115,Assistance League of Riverside,,,www.assistanceleague.org/riverside/,501(c)(3),Nonprofit - Incorporated,1966,Active
7422528,Assistance League of San Bernardino,,,https://www.assistanceleague.org/san-bernardino,501(c)(3),Nonprofit - Incorporated,1951,Active
7422579,Assistance League of the Foothill Communities,,909-484-0504,https://alfc.org/,501(c)(3),Nonprofit - Incorporated,,Active
7422620,Associated Clinical Therapists,,,,None or unknown,Private Practice,,Inactive
7422393,Assure Pregnancy Clinic,,909-232-8466,http://www.assurepregnancy.org,501(c)(3),Nonprofit - Incorporated,1989,Active
7422896,Asthma and Allergy Foundation of America,,202-466-8940,www.aafa.org,501(c)(3),Nonprofit - Incorporated,1954,Active
73496343,Aurora Family Counseling Center,,951-677-3850,http://www.aurorafcc.org/,None or unknown,Private Practice,2007,Inactive
7422869,Autism Care Today,,,www.act-today.org,501(c)(3),Nonprofit - Incorporated,2005,Inactive
7422847,Autism Society Inland Empire,,951-346-9149,www.ieautism.org,501(c)(3),Nonprofit - Incorporated,2012,Active
73496247,Avant-Garde Foster Family Agency,,951-735-9335,www.avgffa.org/,501(c)(3),Nonprofit - Incorporated,2003,Active
16752181,Avector,,909-920-0555,www.avectorgroup.org,501(c)(3),Nonprofit - Incorporated,,Active
73495791,Awareness Group,760-863-8471,760-342-5344,www.theawarenessgroup.org,Commercial,Commercial,1979,Active
7422413,Baker Valley Unified School District,,760-733-4605,http://www.baker.k12.ca.us/index.php,None or unknown,Government - State,,Active
45758690,Baldy View ROP,,,www.baldyviewrop.com,501(a),Nonprofit - Incorporated,,Active
73495792,Banning Chamber of Commerce,,,www.thebanningchamber.org,None or unknown,Membership,1921,Active
73496093,Banning Library District,,,www.banninglibrarydistrict.org/,None or unknown,Special District,,Active
73495796,Banning Unified School District,,951-922-0227,www.banning.k12.ca.us,None or unknown,Government - State,1877,Active
73467851,Banyan Treatment Center,760-616-5800,760-673-7443,www.banyanpalmsprings.com,None or unknown,Commercial,,Active
73495797,Barbara Sinatra Childrens Center,,760-340-1851,www.barbarasinatrachildrenscenter.org,501(c)(3),Nonprofit - Incorporated,1986,Active
76457418,Barstow Church of God in Christ,,,www.barstowcogic.com,501(c)(3),Faith-based,,Active
13089445,Barstow Community College,,760-252-1875,www.barstow.edu,None or unknown,Government - State,,Active
7422546,Barstow Community Hospital,,,www.barstowhospital.com,None or unknown,Nonprofit - Incorporated,1984,Active
7422179,Barstow Humane Society,760-256-3531,760-957-4315,https://www.facebook.com/barstowhumanesociety/,501(c)(3),Nonprofit - Incorporated,1964,Active
7422989,Barstow Route 66 Mother Road Museum,,760-256-6776,www.route66museum.org,501(c)(3),Nonprofit - Incorporated,2000,Active
32049286,Barstow Senior Center,,760-256-5004,https://www.barstowseniorcenter.com/,501(c)(3),Nonprofit - Incorporated,1976,Active
7422414,Barstow Unified School District,,760-255-8965,https://www.busdk12.com/,None or unknown,Special District,,Active
7422190,Barstow Youth Activity Center,,,www.facebook.com/barstowyouthactivityaenter,501(c)(3),Nonprofit - Incorporated,,Inactive
8894675,Basin Transit,760-366-2986,760-366-2445,www.basin-transit.com,None or unknown,Government,1989,Active
94147295,Beacon House Association of San Pedro,,,https://www.thebeaconhouse.org/,501(c)(3),Faith-based,1974,Active
